candidate_id,rank,score,reasoning
CAND_0030031,1,0.886065,"AI Engineer (5.7y exp) at Microsoft, Trivandrum, Kerala; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0046064,2,0.885859,"Senior NLP Engineer (8.9y exp) at Salesforce, Coimbatore, Tamil Nadu; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0068811,3,0.877672,"Applied ML Engineer (8.0y exp) at Freshworks, Pune, Maharashtra; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0064326,4,0.830536,"Search Engineer (7.6y exp) at Sarvam AI, Gurgaon, Haryana; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0039754,5,0.823148,"Senior Applied Scientist (16.2y exp) at Meta, Indore, Madhya Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0041610,6,0.810062,"Recommendation Systems Engineer (6.7y exp) at Zoho, Indore, Madhya Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0011687,7,0.803817,"Senior NLP Engineer (7.8y exp) at Niramai, Indore, Madhya Pradesh; career history shows hands-on retrieval/ranking/ML systems work; short 15-day notice"
CAND_0018499,8,0.796539,"Senior Machine Learning Engineer (7.2y exp) at Zomato, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 15-day notice"
CAND_0043228,9,0.792917,"Applied ML Engineer (6.8y exp) at Zoho, Chennai, Tamil Nadu; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0067866,10,0.770074,"Senior Software Engineer (ML) (6.4y exp) at Tech Mahindra, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work"
CAND_0015967,11,0.768832,"Senior Software Engineer (ML) (5.4y exp) at Razorpay, Hyderabad, Telangana; career history shows hands-on retrieval/ranking/ML systems work; short 30-day notice"
CAND_0048558,12,0.752177,"Data Scientist (6.7y exp) at Rephrase.ai, Noida, Uttar Pradesh; career history shows hands-on retrieval/ranking/ML systems work; short 30-day notice"
CAND_0002025,13,0.750077,"Senior AI Engineer (5.9y exp) at Apple, Trivandrum, Kerala; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
CAND_0075574,14,0.743512,"Machine Learning Engineer (5.7y exp) at Haptik, Bangalore, Karnataka; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience"
CAND_0061655,15,0.743084,"Machine Learning Engineer (4.6y exp) at Krutrim, Jaipur, Rajasthan; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 15-day notice"
CAND_0079387,16,0.741869,"AI Engineer (6.9y exp) at Microsoft, Trivandrum, Kerala; career history shows hands-on retrieval/ranking/ML systems work; mentions evaluation/A-B testing experience; short 30-day notice"
